Carimbo de data/hora,Como conheceu o Téo Me Why?,Quantos cursos acompanhou do Téo Me Why?,Curte games?,Curte futebol?,Curte livros?,Curte jogos de tabuleiro?,Curte jogos de fórmula 1?,Curte jogos de MMA?,Idade,Estado que mora atualmente,Área de Formação,Tempo que atua na área de dados,Posição da cadeira (senioridade),Você se considera uma pessoa feliz?
12/06/2025 10:59:27,LinkedIn,0,Sim,Não,Sim,Sim,Sim,Não,34,MG,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 10:59:34,Twitch,Mais que 3,Sim,Sim,Sim,Não,Não,Sim,26,MG,Exatas,Não atuo,Iniciante,Sim
12/06/2025 10:59:36,YouTube,Mais que 3,Sim,Sim,Sim,Sim,Sim,Sim,39,SC,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 10:59:37,YouTube,Mais que 3,Sim,Sim,Sim,Sim,Sim,Não,27,SP,Exatas,Mais de 4 anos,Pleno,Sim
12/06/2025 10:59:41,Twitch,2,Sim,Sim,Sim,Sim,Não,Não,29,CE,Exatas,De 1 ano a 2 anos,Pleno,Sim
12/06/2025 10:59:43,LinkedIn,2,Sim,Sim,Sim,Sim,Não,Sim,32,SP,Exatas,De 0 a 6 meses,Júnior,Sim
12/06/2025 10:59:53,Instagram,2,Não,Sim,Sim,Sim,Sim,Não,40,SC,Exatas,Não atuo,Iniciante,Sim
12/06/2025 10:59:57,LinkedIn,0,Não,Não,Sim,Sim,Não,Não,31,PE,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:00:00,Amigos,1,Sim,Sim,Não,Sim,Não,Não,34,RJ,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 11:00:04,Twitch,1,Sim,Sim,Sim,Sim,Sim,Não,26,SP,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 11:00:06,YouTube,3,Não,Sim,Sim,Não,Sim,Sim,30,PE,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:00:08,Twitch,Mais que 3,Sim,Não,Sim,Sim,Não,Não,28,AM,Exatas,de 2 anos a 4 anos,Pleno,Sim
12/06/2025 11:00:11,Twitter / X,2,Sim,Sim,Sim,Sim,Não,Não,28,CE,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:00:13,LinkedIn,2,Sim,Sim,Sim,Sim,Não,Não,34,SP,Exatas,de 2 anos a 4 anos,Pleno,Sim
12/06/2025 11:00:15,LinkedIn,0,Sim,Não,Não,Sim,Não,Não,42,SP,Exatas,Não atuo,Júnior,Sim
12/06/2025 11:00:22,LinkedIn,Mais que 3,Não,Sim,Sim,Não,Não,Não,24,PR,Exatas,De 1 ano a 2 anos,Pleno,Sim
12/06/2025 11:00:26,Twitter / X,3,Sim,Não,Não,Sim,Não,Não,29,SP,Exatas,Não atuo,Júnior,Sim
12/06/2025 11:00:26,Twitter / X,0,Sim,Não,Sim,Sim,Não,Não,27,SP,Exatas,De 0 a 6 meses,Iniciante,Não
12/06/2025 11:00:50,LinkedIn,1,Sim,Sim,Não,Não,Sim,Sim,35,MG,Exatas,Não atuo,Júnior,Não
12/06/2025 11:00:51,LinkedIn,3,Sim,Sim,Sim,Sim,Sim,Sim,44,SP,Exatas,Não atuo,Gerência,Não
12/06/2025 11:01:00,Twitter / X,Mais que 3,Sim,Sim,Sim,Não,Sim,Não,27,RJ,Exatas,Mais de 4 anos,Pleno,Sim
12/06/2025 11:01:23,LinkedIn,Mais que 3,Sim,Não,Sim,Sim,Sim,Não,36,BA,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:01:33,LinkedIn,Mais que 3,Sim,Não,Sim,Sim,Sim,Sim,50,SP,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 11:01:49,Twitch,Mais que 3,Sim,Sim,Sim,Sim,Sim,Sim,32,SP,Exatas,Mais de 4 anos,Sênior,Não
12/06/2025 11:01:54,LinkedIn,0,Sim,Sim,Sim,Sim,Não,Não,39,PA,Exatas,De 6 meses a 1 ano,Júnior,Sim
12/06/2025 11:01:57,LinkedIn,Mais que 3,Sim,Sim,Sim,Sim,Sim,Não,31,SP,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:01:57,Twitch,Mais que 3,Sim,Sim,Sim,Sim,Não,Não,37,SP,Exatas,Mais de 4 anos,Júnior,Não
12/06/2025 11:02:09,YouTube,3,Sim,Não,Sim,Sim,Sim,Não,25,SP,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:02:20,Twitch,1,Sim,Sim,Não,Sim,Sim,Não,20,PR,Exatas,Não atuo,Júnior,Sim
12/06/2025 11:02:21,Twitter / X,1,Sim,Sim,Sim,Sim,Não,Não,24,RJ,Exatas,Não atuo,Iniciante,Não
12/06/2025 11:02:36,Twitch,0,Sim,Sim,Não,Sim,Sim,Não,29,SC,Exatas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 11:03:06,Twitter / X,Mais que 3,Sim,Não,Sim,Sim,Não,Sim,24,CE,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:03:09,Twitch,0,Sim,Não,Não,Não,Não,Não,36,MT,Exatas,De 6 meses a 1 ano,Iniciante,Sim
12/06/2025 11:03:13,Instagram,1,Sim,Não,Sim,Sim,Sim,Não,29,SC,Biológicas,Não atuo,Iniciante,Não
12/06/2025 11:03:25,Twitch,3,Sim,Não,Sim,Sim,Não,Não,27,PE,Humanas,de 2 anos a 4 anos,Sênior,Sim
12/06/2025 11:03:32,Twitch,1,Sim,Sim,Sim,Sim,Não,Não,38,SP,Exatas,Mais de 4 anos,Sênior,Não
12/06/2025 11:03:38,LinkedIn,Mais que 3,Sim,Sim,Sim,Sim,Sim,Sim,23,MG,Exatas,de 2 anos a 4 anos,Sênior,Sim
12/06/2025 11:03:40,LinkedIn,0,Sim,Não,Sim,Sim,Não,Não,30,MG,Exatas,Mais de 4 anos,Coordenação,Sim
12/06/2025 11:04:27,LinkedIn,1,Sim,Não,Sim,Não,Não,Não,39,RJ,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 11:06:10,YouTube,Mais que 3,Sim,Não,Sim,Sim,Sim,Não,33,SP,Exatas,de 2 anos a 4 anos,Pleno,Sim
12/06/2025 11:06:20,Amigos,Mais que 3,Não,Não,Sim,Não,Não,Não,32,SP,Exatas,Não atuo,Especialista,Não
12/06/2025 11:08:22,YouTube,1,Sim,Sim,Sim,Sim,Não,Sim,18,SP,Exatas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 11:09:29,Twitch,1,Sim,Não,Sim,Não,Não,Não,29,RJ,Exatas,Não atuo,Iniciante,Não
12/06/2025 11:10:23,LinkedIn,3,Sim,Não,Sim,Sim,Não,Não,44,SP,Exatas,Não atuo,Iniciante,Não
12/06/2025 11:11:13,Outra rede social,Mais que 3,Sim,Não,Sim,Sim,Sim,Não,64,SP,Exatas,Não atuo,Diretoria,Sim
12/06/2025 11:11:30,Twitch,1,Sim,Não,Sim,Sim,Não,Não,27,MG,Exatas,Mais de 4 anos,Especialista,Sim
12/06/2025 11:11:34,Twitter / X,Mais que 3,Sim,Sim,Não,Não,Não,Não,23,RS,Exatas,de 2 anos a 4 anos,Júnior,Sim
12/06/2025 11:11:44,Outra rede social,Mais que 3,Sim,Sim,Sim,Sim,Sim,Não,27,SP,Exatas,Mais de 4 anos,Pleno,Não
12/06/2025 11:11:47,YouTube,3,Sim,Não,Sim,Sim,Sim,Não,48,SP,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 11:11:47,Amigos,1,Sim,Sim,Não,Sim,Não,Não,34,RJ,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 11:12:19,Twitch,1,Sim,Sim,Sim,Sim,Sim,Não,25,SP,Humanas,De 6 meses a 1 ano,Coordenação,Não
12/06/2025 11:12:34,Twitch,1,Sim,Sim,Sim,Sim,Não,Não,27,RJ,Humanas,Não atuo,Iniciante,Sim
12/06/2025 11:12:35,Twitch,2,Sim,Não,Sim,Sim,Não,Não,32,SP,Humanas,Não atuo,Iniciante,Não
12/06/2025 11:13:23,Amigos,0,Sim,Não,Sim,Não,Não,Não,23,RS,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 11:13:36,Twitch,1,Sim,Sim,Sim,Sim,Não,Não,34,CE,Humanas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 11:13:43,Twitch,Mais que 3,Sim,Sim,Sim,Sim,Sim,Não,39,SP,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 11:14:09,Twitch,Mais que 3,Sim,Não,Sim,Não,Não,Não,36,SP,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:14:19,Twitch,2,Sim,Sim,Sim,Sim,Não,Não,32,DF,Exatas,De 0 a 6 meses,Júnior,Não
12/06/2025 11:14:44,Twitter / X,2,Não,Sim,Sim,Sim,Não,Não,27,BA,Exatas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 11:14:55,Amigos,Mais que 3,Sim,Sim,Sim,Sim,Sim,Não,25,PE,Exatas,De 6 meses a 1 ano,Iniciante,Não
12/06/2025 11:15:08,Amigos,Mais que 3,Sim,Não,Sim,Sim,Não,Não,43,SP,Humanas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 11:17:50,Amigos,0,Sim,Não,Sim,Sim,Não,Sim,24,PR,Exatas,Não atuo,Pleno,Sim
12/06/2025 11:18:44,Instagram,Mais que 3,Sim,Não,Sim,Sim,Sim,Sim,27,PR,Exatas,de 2 anos a 4 anos,Júnior,Sim
12/06/2025 11:18:55,Amigos,Mais que 3,Sim,Não,Sim,Sim,Não,Não,21,MG,Exatas,Não atuo,Iniciante,Sim
12/06/2025 11:25:18,LinkedIn,Mais que 3,Sim,Não,Sim,Sim,Não,Não,24,SP,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 11:26:33,LinkedIn,1,Sim,Não,Sim,Sim,Não,Não,21,RJ,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 11:29:33,Amigos,1,Sim,Não,Sim,Sim,Não,Sim,22,SP,Exatas,De 6 meses a 1 ano,Iniciante,Não
12/06/2025 11:36:02,Twitch,Mais que 3,Sim,Não,Sim,Sim,Sim,Não,39,SP,Humanas,Mais de 4 anos,Especialista,Sim
12/06/2025 11:41:26,YouTube,2,Sim,Sim,Sim,Não,Não,Não,27,PE,Humanas,Mais de 4 anos,Sênior,Sim
12/06/2025 12:02:25,Outra rede social,1,Sim,Sim,Sim,Sim,Não,Não,35,DF,Exatas,De 0 a 6 meses,Júnior,Sim
12/06/2025 12:32:24,Twitch,2,Sim,Não,Sim,Sim,Não,Não,25,RN,Exatas,de 2 anos a 4 anos,Pleno,Sim
12/06/2025 12:32:34,LinkedIn,3,Sim,Sim,Sim,Não,Não,Não,22,SP,Exatas,De 1 ano a 2 anos,Júnior,Não
12/06/2025 12:32:39,Amigos,1,Sim,Sim,Não,Não,Não,Não,22,MG,Exatas,Não atuo,Iniciante,Sim
12/06/2025 12:32:45,LinkedIn,Mais que 3,Sim,Sim,Sim,Sim,Sim,Sim,35,RJ,Exatas,De 6 meses a 1 ano,Iniciante,Sim
12/06/2025 12:33:03,Instagram,0,Sim,Sim,Sim,Sim,Não,Sim,34,MG,Humanas,Não atuo,C-Level,Não
12/06/2025 12:34:25,Instagram,2,Não,Sim,Sim,Sim,Não,Não,41,MG,Humanas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 12:35:04,LinkedIn,1,Sim,Sim,Sim,Sim,Não,Não,29,MG,Exatas,Mais de 4 anos,Especialista,Sim
12/06/2025 12:35:09,LinkedIn,1,Sim,Sim,Sim,Sim,Não,Não,27,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
12/06/2025 12:36:13,Twitter / X,2,Sim,Não,Não,Sim,Não,Não,21,ES,Exatas,Não atuo,Iniciante,Sim
12/06/2025 12:37:34,Instagram,0,Não,Não,Sim,Não,Não,Não,40,SC,Exatas,Não atuo,Sênior,Sim
12/06/2025 12:42:42,Instagram,2,Sim,Não,Sim,Sim,Sim,Sim,39,SP,Humanas,Não atuo,Pleno,Sim
12/06/2025 12:45:20,LinkedIn,3,Sim,Sim,Sim,Sim,Sim,Não,30,MG,Humanas,Mais de 4 anos,Pleno,Sim
12/06/2025 12:45:50,LinkedIn,Mais que 3,Sim,Sim,Sim,Sim,Não,Não,30,ES,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 12:47:00,Twitter / X,2,Sim,Sim,Sim,Não,Não,Não,25,RJ,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 12:48:26,LinkedIn,1,Sim,Não,Sim,Sim,Não,Sim,41,MG,Humanas,Não atuo,Iniciante,Sim
12/06/2025 12:48:27,YouTube,2,Sim,Não,Sim,Sim,Sim,Não,37,PB,Exatas,de 2 anos a 4 anos,Júnior,Sim
12/06/2025 12:50:06,Amigos,1,Não,Não,Não,Não,Não,Não,34,SP,Exatas,Mais de 4 anos,Pleno,Sim
12/06/2025 12:51:44,Instagram,1,Sim,Sim,Sim,Sim,Não,Não,26,PR,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 12:55:33,Amigos,Mais que 3,Sim,Não,Sim,Sim,Sim,Não,40,RJ,Exatas,Mais de 4 anos,Sênior,Não
12/06/2025 12:56:52,Amigos,Mais que 3,Sim,Sim,Não,Não,Não,Não,27,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
12/06/2025 12:58:19,LinkedIn,3,Sim,Sim,Não,Sim,Não,Não,32,RS,Exatas,De 1 ano a 2 anos,Pleno,Sim
12/06/2025 13:03:37,Instagram,0,Sim,Não,Sim,Sim,Sim,Não,48,BA,Exatas,Não atuo,Iniciante,Sim
12/06/2025 13:04:40,Instagram,1,Sim,Sim,Sim,Sim,Não,Não,33,SP,Humanas,Mais de 4 anos,Pleno,Sim
12/06/2025 13:08:06,Instagram,Mais que 3,Sim,Sim,Sim,Sim,Sim,Sim,22,SP,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 13:09:01,Twitter / X,2,Sim,Sim,Sim,Não,Sim,Sim,35,SC,Exatas,De 1 ano a 2 anos,Coordenação,Sim
12/06/2025 13:11:28,LinkedIn,Mais que 3,Sim,Sim,Sim,Sim,Sim,Sim,44,SP,Exatas,De 1 ano a 2 anos,Iniciante,Sim
12/06/2025 13:11:46,YouTube,2,Sim,Sim,Sim,Não,Não,Não,27,SP,Exatas,Não atuo,Iniciante,Sim
12/06/2025 13:15:28,Twitch,3,Sim,Sim,Sim,Sim,Sim,Sim,30,SP,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 13:16:15,LinkedIn,1,Sim,Sim,Sim,Não,Não,Não,36,SP,Exatas,Não atuo,Especialista,Sim
12/06/2025 13:19:10,YouTube,Mais que 3,Não,Não,Sim,Sim,Não,Não,29,RJ,Exatas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 13:20:59,YouTube,2,Sim,Não,Sim,Sim,Não,Não,25,PA,Exatas,Não atuo,Iniciante,Sim
12/06/2025 13:29:10,Amigos,2,Sim,Sim,Sim,Sim,Não,Não,21,MG,Exatas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 13:35:19,Amigos,0,Sim,Não,Sim,Sim,Não,Não,30,SC,Exatas,Não atuo,Iniciante,Não
12/06/2025 13:39:17,YouTube,0,Sim,Sim,Sim,Não,Não,Não,23,RJ,Exatas,De 6 meses a 1 ano,Iniciante,Sim
12/06/2025 13:40:02,YouTube,Mais que 3,Sim,Sim,Sim,Não,Sim,Não,38,GO,Exatas,Não atuo,C-Level,Não
12/06/2025 13:42:59,Twitch,Mais que 3,Sim,Sim,Sim,Sim,Não,Não,27,BA,Exatas,de 2 anos a 4 anos,Pleno,Sim
12/06/2025 13:45:16,Twitch,2,Sim,Não,Sim,Sim,Sim,Não,29,MG,Exatas,De 6 meses a 1 ano,Júnior,Sim
12/06/2025 13:47:26,LinkedIn,1,Sim,Sim,Não,Sim,Sim,Sim,22,MA,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 13:47:59,YouTube,2,Sim,Não,Sim,Sim,Sim,Não,40,BA,Exatas,De 1 ano a 2 anos,Pleno,Sim
12/06/2025 14:01:08,YouTube,2,Sim,Sim,Sim,Sim,Sim,Não,38,SP,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 14:05:43,Amigos,0,Sim,Não,Sim,Sim,Não,Não,33,DF,Humanas,Não atuo,Especialista,Sim
12/06/2025 14:06:05,LinkedIn,1,Sim,Não,Sim,Não,Não,Não,40,SP,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 14:09:01,LinkedIn,2,Sim,Não,Sim,Sim,Sim,Sim,34,AM,Exatas,Não atuo,Iniciante,Não
12/06/2025 14:17:46,LinkedIn,2,Sim,Sim,Sim,Sim,Sim,Não,23,MG,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 14:18:09,Amigos,Mais que 3,Não,Sim,Sim,Não,Não,Não,42,PE,Humanas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 14:25:50,LinkedIn,2,Sim,Sim,Sim,Sim,Não,Não,37,RN,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 14:37:05,Twitter / X,Mais que 3,Sim,Sim,Sim,Sim,Não,Sim,29,BA,Exatas,De 0 a 6 meses,Júnior,Sim
12/06/2025 14:39:40,Twitch,Mais que 3,Sim,Sim,Sim,Sim,Não,Não,34,SC,Exatas,De 0 a 6 meses,Júnior,Sim
12/06/2025 14:59:04,YouTube,2,Sim,Não,Não,Não,Não,Não,32,RJ,Exatas,de 2 anos a 4 anos,Pleno,Sim
12/06/2025 15:07:22,YouTube,3,Sim,Não,Sim,Sim,Não,Não,39,SP,Exatas,Não atuo,Sênior,Sim
12/06/2025 15:15:47,Instagram,2,Sim,Sim,Sim,Sim,Não,Sim,34,RJ,Exatas,Não atuo,Iniciante,Sim
12/06/2025 15:32:07,Instagram,1,Não,Não,Sim,Sim,Não,Não,49,DF,Humanas,Não atuo,Iniciante,Sim
12/06/2025 15:39:17,LinkedIn,1,Sim,Sim,Sim,Sim,Não,Não,24,SP,Exatas,Não atuo,Iniciante,Sim
12/06/2025 15:52:52,YouTube,Mais que 3,Sim,Sim,Sim,Sim,Sim,Sim,40,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
12/06/2025 15:53:54,Twitch,2,Sim,Não,Não,Sim,Não,Não,32,SP,Exatas,de 2 anos a 4 anos,Pleno,Sim
12/06/2025 15:54:57,LinkedIn,1,Não,Sim,Sim,Sim,Não,Não,32,SP,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 15:58:04,YouTube,3,Sim,Sim,Sim,Não,Sim,Não,25,SP,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 16:01:55,Outra rede social,1,Sim,Não,Sim,Sim,Não,Não,30,SP,Humanas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 16:04:57,Twitch,Mais que 3,Sim,Não,Sim,Sim,Não,Não,41,DF,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 16:10:02,Twitch,0,Não,Não,Sim,Sim,Não,Não,30,ES,Exatas,de 2 anos a 4 anos,Pleno,Sim
12/06/2025 16:11:21,YouTube,Mais que 3,Sim,Sim,Sim,Sim,Sim,Sim,20,SP,Exatas,De 6 meses a 1 ano,Iniciante,Sim
12/06/2025 16:14:28,YouTube,3,Sim,Sim,Sim,Sim,Sim,Não,24,CE,Exatas,De 1 ano a 2 anos,Júnior,Sim
12/06/2025 16:16:35,LinkedIn,0,Sim,Sim,Sim,Sim,Não,Não,33,SP,Exatas,Mais de 4 anos,Especialista,Sim
12/06/2025 16:30:38,LinkedIn,0,Sim,Não,Não,Sim,Sim,Não,26,SP,Humanas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 16:32:04,Outra rede social,3,Não,Não,Sim,Sim,Sim,Não,31,PR,Exatas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 16:35:15,Amigos,Mais que 3,Sim,Não,Sim,Sim,Não,Não,33,SP,Exatas,De 6 meses a 1 ano,Júnior,Sim
12/06/2025 17:00:18,Instagram,2,Sim,Sim,Sim,Sim,Não,Sim,23,SP,Exatas,Não atuo,Júnior,Sim
12/06/2025 17:09:40,YouTube,2,Não,Sim,Sim,Não,Sim,Não,42,SP,Exatas,Não atuo,C-Level,Sim
12/06/2025 17:15:10,Twitch,0,Sim,Não,Sim,Sim,Não,Sim,26,PE,Exatas,De 0 a 6 meses,Iniciante,Não
12/06/2025 17:28:01,YouTube,2,Sim,Sim,Sim,Não,Não,Não,18,SP,Exatas,Não atuo,Iniciante,Sim
12/06/2025 17:31:39,YouTube,0,Sim,Sim,Sim,Sim,Não,Não,25,CE,Exatas,Não atuo,Júnior,Sim
12/06/2025 17:36:56,Instagram,0,Sim,Sim,Não,Sim,Não,Não,33,MG,Exatas,De 1 ano a 2 anos,Pleno,Não
12/06/2025 17:57:29,LinkedIn,Mais que 3,Não,Não,Sim,Sim,Não,Não,31,SP,Exatas,De 0 a 6 meses,Júnior,Sim
12/06/2025 17:57:32,LinkedIn,1,Sim,Sim,Sim,Sim,Sim,Sim,31,PE,Exatas,de 2 anos a 4 anos,Júnior,Sim
12/06/2025 18:05:09,Instagram,0,Sim,Não,Sim,Sim,Sim,Não,30,RS,Exatas,Não atuo,Iniciante,Sim
12/06/2025 18:44:24,LinkedIn,2,Sim,Sim,Sim,Sim,Sim,Sim,28,PR,Exatas,De 6 meses a 1 ano,Júnior,Sim
12/06/2025 18:48:34,YouTube,2,Sim,Não,Sim,Sim,Sim,Sim,39,RJ,Exatas,De 6 meses a 1 ano,Pleno,Sim
12/06/2025 18:49:08,Amigos,2,Sim,Não,Sim,Sim,Não,Sim,36,MG,Exatas,Mais de 4 anos,Pleno,Não
12/06/2025 19:20:15,Amigos,2,Sim,Sim,Sim,Não,Não,Não,35,CE,Humanas,Mais de 4 anos,Pleno,Sim
12/06/2025 19:38:38,Amigos,1,Não,Não,Sim,Não,Não,Não,32,SP,Exatas,de 2 anos a 4 anos,Especialista,Não
12/06/2025 19:42:34,Outra rede social,0,Sim,Não,Sim,Sim,Não,Não,28,BA,Exatas,De 0 a 6 meses,Júnior,Sim
12/06/2025 20:17:41,Twitch,3,Sim,Sim,Não,Não,Sim,Não,27,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
12/06/2025 20:40:35,Twitch,Mais que 3,Sim,Sim,Sim,Sim,Sim,Não,28,BA,Exatas,Não atuo,Júnior,Sim
12/06/2025 20:47:05,Twitter / X,2,Sim,Não,Sim,Não,Sim,Não,36,RS,Biológicas,Não atuo,Iniciante,Sim
12/06/2025 20:52:01,LinkedIn,0,Não,Não,Não,Sim,Sim,Não,23,SP,Humanas,De 0 a 6 meses,Iniciante,Não
12/06/2025 21:54:31,Amigos,1,Sim,Sim,Sim,Sim,Sim,Sim,39,MG,Exatas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 22:28:06,YouTube,2,Sim,Sim,Sim,Sim,Sim,Sim,20,RJ,Exatas,De 6 meses a 1 ano,Iniciante,Sim
12/06/2025 22:39:49,LinkedIn,2,Sim,Sim,Não,Sim,Sim,Não,33,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
12/06/2025 22:48:45,Amigos,3,Sim,Não,Sim,Sim,Não,Não,39,RJ,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 23:23:51,YouTube,2,Sim,Não,Sim,Sim,Sim,Sim,25,SP,Exatas,Mais de 4 anos,Sênior,Sim
12/06/2025 23:29:43,Instagram,0,Não,Não,Sim,Sim,Não,Não,45,SP,Exatas,Não atuo,Pleno,Sim
12/06/2025 23:31:21,Amigos,1,Sim,Não,Sim,Sim,Não,Não,32,SP,Exatas,Mais de 4 anos,C-Level,Não
12/06/2025 23:49:04,LinkedIn,3,Sim,Sim,Sim,Não,Não,Não,21,RS,Exatas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 23:57:28,Outra rede social,1,Sim,Sim,Sim,Sim,Não,Sim,18,PR,Exatas,De 0 a 6 meses,Iniciante,Sim
12/06/2025 23:58:32,Instagram,2,Sim,Não,Sim,Sim,Não,Não,26,ES,Exatas,Não atuo,Iniciante,Não
13/06/2025 00:32:13,YouTube,2,Sim,Sim,Sim,Sim,Sim,Não,18,SP,Exatas,Não atuo,Iniciante,Sim
13/06/2025 02:48:19,Twitch,2,Sim,Sim,Sim,Sim,Sim,Não,34,RS,Exatas,Não atuo,Iniciante,Não
13/06/2025 03:20:23,LinkedIn,0,Sim,Sim,Sim,Não,Sim,Sim,23,PE,Exatas,Não atuo,Iniciante,Sim
13/06/2025 05:27:05,Instagram,2,Sim,Não,Sim,Sim,Sim,Não,39,SP,Exatas,De 1 ano a 2 anos,Pleno,Sim
13/06/2025 07:46:32,Instagram,1,Sim,Sim,Sim,Sim,Sim,Não,30,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
13/06/2025 07:54:49,YouTube,2,Sim,Não,Sim,Sim,Sim,Sim,26,RJ,Exatas,De 6 meses a 1 ano,Júnior,Sim
13/06/2025 08:41:52,Instagram,1,Sim,Não,Sim,Sim,Não,Sim,35,PR,Biológicas,Não atuo,Iniciante,Sim
13/06/2025 08:45:27,Twitch,1,Sim,Sim,Sim,Sim,Sim,Não,39,SP,Exatas,Mais de 4 anos,Pleno,Sim
13/06/2025 09:06:02,Amigos,2,Sim,Sim,Sim,Sim,Não,Não,18,BA,Exatas,De 6 meses a 1 ano,Iniciante,Sim
13/06/2025 09:29:41,Amigos,2,Sim,Não,Sim,Sim,Não,Sim,23,SP,Exatas,De 6 meses a 1 ano,Júnior,Sim
13/06/2025 09:35:26,Instagram,0,Sim,Não,Sim,Sim,Não,Não,27,SP,Humanas,De 0 a 6 meses,Iniciante,Não
13/06/2025 10:18:01,Instagram,0,Sim,Sim,Não,Sim,Sim,Não,36,SP,Exatas,Não atuo,Pleno,Não
13/06/2025 11:23:48,Amigos,2,Sim,Sim,Sim,Não,Sim,Não,33,SC,Humanas,de 2 anos a 4 anos,Júnior,Sim
13/06/2025 11:41:05,Twitch,Mais que 3,Sim,Sim,Sim,Sim,Sim,Sim,32,PR,Biológicas,Mais de 4 anos,Sênior,Sim
13/06/2025 20:45:50,Twitter / X,1,Sim,Sim,Sim,Sim,Não,Não,39,SP,Exatas,Não atuo,Iniciante,Não
14/06/2025 18:09:20,LinkedIn,1,Sim,Não,Sim,Não,Não,Não,25,SP,Exatas,De 1 ano a 2 anos,Pleno,Não
14/06/2025 18:39:45,YouTube,1,Sim,Não,Sim,Sim,Não,Não,43,MG,Exatas,Não atuo,Especialista,Sim